defect_id,product_id,defect_type,defect_date,defect_location,severity,inspection_method,repair_cost,cluster
1,15,Structural,6/6/2024,Component,Minor,Visual Inspection,245.47,1
2,6,Functional,4/26/2024,Component,Minor,Visual Inspection,26.87,1
3,84,Structural,2/15/2024,Internal,Minor,Automated Testing,835.81,3
4,10,Functional,3/28/2024,Internal,Critical,Automated Testing,444.47,3
5,14,Cosmetic,4/26/2024,Component,Minor,Manual Testing,823.64,0
6,17,Functional,5/11/2024,Internal,Moderate,Visual Inspection,788.11,5
7,85,Cosmetic,5/23/2024,Internal,Critical,Manual Testing,33.68,0
8,90,Structural,1/15/2024,Internal,Moderate,Manual Testing,65.56,4
9,30,Structural,1/26/2024,Component,Critical,Manual Testing,848.61,4
10,20,Structural,6/5/2024,Component,Critical,Visual Inspection,478.48,1
11,45,Structural,4/28/2024,Surface,Moderate,Automated Testing,217.96,6
12,86,Structural,2/25/2024,Component,Minor,Manual Testing,485.02,4
13,87,Cosmetic,6/20/2024,Component,Minor,Visual Inspection,714.63,1
14,72,Cosmetic,5/8/2024,Surface,Critical,Manual Testing,603.94,0
15,74,Cosmetic,5/3/2024,Component,Critical,Manual Testing,189.55,0
16,10,Functional,1/20/2024,Component,Minor,Automated Testing,458.79,2
17,53,Structural,5/14/2024,Internal,Minor,Visual Inspection,509.35,4
18,63,Cosmetic,5/21/2024,Component,Critical,Visual Inspection,538.99,1
19,28,Functional,2/15/2024,Internal,Critical,Manual Testing,34.93,5
20,81,Structural,5/25/2024,Internal,Moderate,Manual Testing,557.11,4
21,67,Functional,5/3/2024,Surface,Minor,Visual Inspection,831.43,5
22,6,Structural,3/6/2024,Surface,Minor,Visual Inspection,504.9,4
23,33,Structural,5/6/2024,Surface,Moderate,Automated Testing,349.23,6
24,15,Structural,2/23/2024,Component,Critical,Visual Inspection,560.39,1
25,13,Cosmetic,2/19/2024,Surface,Moderate,Manual Testing,629.71,0
26,39,Structural,6/15/2024,Component,Moderate,Visual Inspection,975.44,1
27,60,Cosmetic,5/8/2024,Component,Moderate,Manual Testing,737.54,0
28,42,Structural,1/2/2024,Component,Critical,Manual Testing,592.87,4
29,3,Structural,1/13/2024,Component,Moderate,Automated Testing,99.82,2
30,17,Functional,1/22/2024,Surface,Critical,Visual Inspection,106.34,5
31,30,Structural,4/30/2024,Surface,Critical,Automated Testing,352.58,6
32,25,Structural,3/29/2024,Surface,Moderate,Visual Inspection,734.12,4
33,14,Cosmetic,5/15/2024,Internal,Minor,Visual Inspection,953.54,0
34,58,Structural,6/19/2024,Surface,Critical,Manual Testing,753.89,4
35,48,Functional,4/4/2024,Component,Critical,Automated Testing,955.91,2
36,20,Structural,6/4/2024,Surface,Critical,Automated Testing,776.91,6
37,68,Cosmetic,1/20/2024,Internal,Critical,Manual Testing,607.96,0
38,51,Functional,6/8/2024,Internal,Moderate,Automated Testing,107.7,3
39,12,Functional,6/25/2024,Internal,Critical,Manual Testing,27.24,5
40,92,Cosmetic,1/6/2024,Surface,Critical,Visual Inspection,370.83,0
41,63,Functional,3/11/2024,Component,Minor,Manual Testing,526.08,5
42,49,Functional,5/18/2024,Surface,Critical,Automated Testing,144.38,6
